区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
安徽·亳州·谯城区,毫州华佗纪念馆,1423191751,文化古迹,,热度 0.7,安徽省亳州市谯城区永安街12号,感受外科鼻祖华佗的医术造诣,"115.788583,33.883194"
河南·开封·禹王台区,繁塔,1363143794,文化古迹,,热度 0.72,河南省开封市禹王台区繁塔西街30号,千姿百态，形象生动,"114.371263,34.775527"
江苏·南京·秦淮区,甘家大院,582859540,文化古迹,,热度 0.7,江苏省南京市秦淮区南捕厅15号,金陵新四十八景之一,"118.787996,32.032603"
四川·广元·元坝区,昭化古城,2175277820,文化古迹,4A景区,热度 0.8800000000000001,四川省广元市元坝区昭化古城,一座保存完好的三国古城,"105.728116,32.341326"
云南·西双版纳·景洪市,西双版纳大吉总佛寺,3273381066,文化古迹,,热度 0.0,云南省西双版纳傣族自治州景洪市大吉总佛寺,西双版纳佛教信徒朝圣的中心,"100.81304,21.994712"
贵州·贵阳·修文县,中国阳明文化园,4212914705,文化古迹,,热度 0.0,贵州省贵阳市修文县阳明大道306号,呈现阳明心学的精神风貌与历史价值,"106.614626,26.852046"
山东·临沂·沂南县,竹泉村,2934853487,文化古迹,4A景区,热度 0.0,山东省临沂市沂南县铜井镇竹泉村,竹泉美景胜江南，何必舍近去求远,"118.444301,35.653863"
江苏·南京·下关区,南京阅江楼,65647061,文化古迹,4A景区,热度 0.78,江苏省南京市下关区建宁路202号,狮子山巅凭栏阅江，品六百年传奇之楼,"118.75312,32.099764"
山西·临汾·洪洞县,广胜寺,879156663,文化古迹,,热度 0.82,山西省临汾市洪洞县广胜寺镇,山青水秀，风景宜人，宝塔高耸，殿阁峥嵘,"111.819144,36.307166"
江西·九江·星子县,白鹿洞书院,639695928,文化古迹,,热度 0.8,江西省九江市星子县,想要做神仙，就来安吉中南百草园,"116.047449,29.523417"
湖北·荆州·荆州区,荆州关帝庙,638702037,文化古迹,3A景区,热度 0.7,湖北省荆州市荆州区爱民路关公馆,感受关羽忠义仁勇的高大形象,"112.204365,30.355283"
辽宁·大连·旅顺口区,日俄监狱旧址,1901253010,文化古迹,4A景区,热度 0.72,辽宁省大连市旅顺口区向阳街139号,保存完好，历史内涵丰富，具有鲜明国际性,"121.271863,38.831197"
天津·天津·和平区,庆王府,259761703,文化古迹,,热度 0.7,天津市和平区重庆道55号庆王府院内(近民园体育场),折衷主义风格，景致幽雅宜人,"117.214351,39.119385"
广西·贺州·八步区,贺州客家围屋,3119077151,文化古迹,,热度 0.76,广西壮族自治区贺州市莲塘镇客家围屋景区,"奇异而神秘的建筑,贺州的旅游胜地","111.664828,24.432778"
辽宁·沈阳·皇姑区,沈阳昭陵（北陵公园）,3174299159,文化古迹,4A景区,热度 0.82,辽宁省沈阳市皇姑区北郊泰山路12号,清代皇家陵寝和现代园林合一的游览胜地,"123.434063,41.85812"
河北·石家庄·正定县,正定隆兴寺（大佛寺）,2280949446,文化古迹,4A景区,热度 1.0,河北省石家庄市正定县中山东路109号,全国重点文物保护单位,"114.588945,38.148799"
吉林·延边·敦化市,六鼎山文化旅游区,943689886,文化古迹,5A景区,热度 0.0,吉林省延边州敦化市吉林敦化六鼎山文化旅游区,文化圣境 ，度假天堂,"128.25024,43.32451"
江苏·镇江·润州区,西津渡历史文化街,3888620257,文化古迹,4A景区,热度 0.0,江苏省镇江市润州区西津渡街25号,罗哲文先生称之为“中国古渡博物馆”,"119.436605,32.221625"
安徽·宣城·绩溪县,龙川风景区,3726110629,文化古迹,5A景区,热度 1.0,安徽省宣城市绩溪县086县道,聚天地之灵，享人文之杰,"118.674492,30.081468"
北京·北京·东城区,地坛公园,3629472821,文化古迹,,热度 0.72,北京市安定门外大街东侧,悠久历史文化的皇家坛庙,"116.42197,39.960464"
河南·开封·开封县,朱仙镇,2212891524,文化古迹,,热度 0.0,河南省开封市开封县县城西南部朱仙镇,人文景观众多，文物古迹星罗棋布,"114.273709,34.621794"
河南·郑州·嵩山,嵩阳景区,2271356395,文化古迹,,热度 0.0,河南省登封市嵩山景区,我国著名五岳名山之一,"113.037495,34.487076"
河北·保定·易县,太行水镇,3768974326,文化古迹,4A景区,热度 0.0,河北省保定市易县安格庄乡,漫步太行水镇，感受精美景致,"115.24968,39.293775"
江西·赣州·瑞金市,瑞金红井,2289629704,文化古迹,5A景区,热度 0.7,江西省赣州市瑞金市,苏区时期毛泽东亲自带领干部群众开挖的,"116.014033,25.885686"
安徽·合肥·肥西县,三河古镇,1710156506,文化古迹,5A景区,热度 0.9199999999999999,安徽省合肥市肥西县三河镇三杭路,典型的水乡古镇,"117.250617,31.522255"
北京·北京·海淀区,香山公园,3442278694,文化古迹,4A景区,热度 0.72,北京市海淀区买卖街40号,深秋时节，红叶漫山遍野，灿烂夺目,"116.203098,39.996942"
山东·临沂·蒙阴县,孟良崮,1456729113,文化古迹,4A景区,热度 0.8,山东省临沂市蒙阴县垛庄镇泉桥村孟良崮景区,红色旅游的必去之地,"118.192291,35.542895"
重庆·重庆·南川区,金佛山,3863687047,文化古迹,5A景区,热度 0.72,重庆市南川区金佛山西坡旅游区,山势雄奇秀丽，景色深秀迷人,"107.207362,29.104603"
四川·广元·利州区,广元千佛崖,625102824,文化古迹,,热度 0.0,四川省广元市利州区嘉陵江东岸千佛崖风景区,峭壁上布满了造像龛窟，密如蜂房,"105.852944,32.477363"
澳门·澳门·凼仔岛,澳门威尼斯人度假村,1948191415,文化古迹,,热度 0.9400000000000001,澳门特别行政区凼仔岛氹仔金光大道望德圣母湾大马路,边购物，边坐贡多拉徜徉水城“威尼斯”,"113.571859,22.150543"
贵州·铜仁·铜仁市,大明边城,1997935947,文化古迹,,热度 0.0,贵州省铜仁地区铜仁市大明边城景区,展示明朝以来贵州600年历史文化,"109.218094,27.718141"
江苏·扬州·广陵区,吴道台宅第,3428233968,文化古迹,3A景区,热度 0.0,江苏省扬州广陵区泰州路45号,江苏省文物保护单位,"119.458898,32.399042"
辽宁·大连·旅顺口区,旅顺军港,1116473775,文化古迹,,热度 0.0,辽东半岛西南端,世界闻名的军事要塞，并为五大军港之一,"121.263729,38.809405"
广西·桂林·阳朔县,阳朔,273058741,文化古迹,,热度 0.0,广西壮族自治区桂林市阳朔县,"“阳朔山水甲桂林”,古镇人家清幽静美","110.502714,24.784504"
安徽·合肥·合肥市,合肥三国遗址公园,3211147170,文化古迹,,热度 0.0,安徽省合肥市庐阳区三十岗公园路1号,极具史学和军事研究价值的三国文化遗产,"117.13054,31.927823"
江苏·苏州·吴江市,震泽古镇,1282927983,文化古迹,4A景区,热度 0.0,江苏省苏州市吴江市震泽镇,一颗镶嵌在苏嘉湖平原上的璀璨明珠,"120.515956,30.918345"
山东·济宁·汶上县,宝相寺,3837381821,文化古迹,4A景区,热度 0.0,山东省济宁市汶上县宝相寺路城西北隅,非云非雾起层空，异彩奇辉迥不同,"116.495109,35.736965"
湖南·长沙·岳麓区,岳麓书院,1921974583,文化古迹,,热度 0.0,湖南省长沙市岳麓区岳麓山风景区旁,“千年学府”，4A级风景区,"112.94755,28.186708"
河南·洛阳·洛龙区,定鼎门遗址博物馆,2622253780,文化古迹,,热度 0.0,河南省洛阳市洛龙区古城路,丝绸之路上的古城门,"112.473474,34.636616"
辽宁·沈阳·沈河区,沈阳故宫,1333032179,文化古迹,4A景区,热度 0.7,辽宁省沈阳市沈河区沈阳路171号,观皇家宫苑，赏珍宝文物,"123.462202,41.804471"
河北·保定·易县,清西陵,888618907,文化古迹,4A景区,热度 0.86,河北省保定市易县县城西15公里处的永宁山下,是一处典型的清代古建筑群,"115.352505,39.355767"
广西·崇左·凭祥市,友谊关,2407764414,文化古迹,4A景区,热度 0.74,广西壮族自治区崇左凭祥市南人路83号友谊关景区,历史悠久，气势磅礴，我国九大名关之一,"106.722212,21.979641"
山东·济宁·三孔,曲阜孔府,400442679,文化古迹,,热度 0.0,山东济宁曲阜孔府,规模仅次于明清皇宫的贵族府第,"116.996408,35.596925"
重庆·重庆·沙坪坝区,渣滓洞,1841403782,文化古迹,,热度 0.78,重庆市沙坪坝区渣滓洞凌云路歌乐山烈士陵园附近,原是重庆郊外的一个小煤窑,"106.439082,29.59244"
河南·郑州·中岳景区,中岳庙,205602341,文化古迹,,热度 0.74,河南省郑州登封市中岳大街146号嵩山风景区内,始建于秦，封禅或祭祀中岳山神的场所,"113.080675,34.461814"
河北·唐山·遵化市,清东陵,593216851,文化古迹,5A景区,热度 1.0,河北省唐山市遵化市西北30公里处,众多清朝帝王和皇后的宏伟陵墓建筑群,"117.712436,40.136521"
福建·三明·泰宁县,古城·尚书第,23019910,文化古迹,,热度 0.82,福建省三明市泰宁县城内胜利二街福堂巷,浓缩了古代建筑的生活场景，见证了朝代更迭,"117.184156,26.904089"
江苏·苏州·金阊区,枫桥,3484506290,文化古迹,,热度 0.8,江苏省苏州市金阊区枫桥路,姑苏城外寒山寺，夜半钟声到客船,"120.571639,31.32104"
湖北·襄阳·襄城区,古隆中,3228598317,文化古迹,4A景区,热度 1.0,湖北省襄阳襄城区隆中路461号,诸葛亮“躬耕陇亩”，刘备“三顾茅庐”之地,"112.041845,31.99698"
河南·洛阳·洛龙区,关林庙,3804939514,文化古迹,4A景区,热度 0.8,河南省洛阳市洛龙区关林南路2号,“林、庙、”合祀的古代经典建筑,"112.490039,34.613008"
四川·成都·都江堰,二王庙,3843116372,文化古迹,,热度 0.72,四川省成都都江堰市都江堰风景名胜景区内,李冰父子祀庙,"103.617179,31.012103"
湖北·荆州·荆州区,荆州关羽祠,3469410752,文化古迹,3A景区,热度 0.0,湖北省荆州市荆州区新南门内环南路76号,祭拜关公的圣地，理想的观光胜境,"112.19049,30.353897"
江苏·苏州·太湖西山岛,大如意圣境（苏州大观音禅寺）,2735831333,文化古迹,,热度 0.0,江苏省苏州市金庭镇（太湖西山岛）绮里坞,古老的观音道场，香火鼎盛,"120.248019,31.102564"
暹粒省·吴哥,豆蔻寺,2622634818,文化古迹,,热度 0.0,亚洲-柬埔寨,适合拍照,"103.8997847,13.4197395"
福建·三明·宁化县,客家祖地,219414042,文化古迹,,热度 0.78,三明市宁化县,独特的客家文化及民俗风情,"116.49484239715,26.258194569935"
山东·滨州·惠民县,中国孙子兵法城,1535119343,文化古迹,3A景区,热度 1.0,山东省滨州市惠民县武圣大道,楼台古井交相辉映；翠竹古柏摇曳生姿,"117.509331,37.514592"
云南·昆明·西山区,金马碧鸡坊,3629870854,文化古迹,,热度 0.82,昆明金碧路中段,历史悠久，民族特色突出，被誉为昆明的象征,"102.716349,25.039799"
河北·承德·双桥区,普宁寺,100011970,文化古迹,4A景区,热度 0.74,河北省承德市双桥区普宁路1号,宗教文化强大的感染力,"117.958959,41.022896"
东京,浅草寺,969497599,文化古迹,,热度 1.0,亚洲-日本,日本现存的具有“江户风格”的民众游乐之地,"139.796655759216,35.7147705648321"
浙江·绍兴·绍兴县,柯桥古镇,1320098035,文化古迹,,热度 0.76,浙江绍兴市,浙江著名水乡集镇,"120.48031004554,30.073717336402"
山西·晋中·介休市,张壁古堡,1865084465,文化古迹,,热度 0.74,山西省晋中介休市城区东南10公里龙凤乡张壁村,历史悠久，国内罕见的古代地下军事遗址,"111.980239,36.967977"
台湾·台北,101大楼,109393313,文化古迹,,热度 1.0,台湾省台北市110信义路5段7号,可居高临下观赏整个台北风景,"121.56496,25.033616"
河北·邯郸·邯郸县,黄梁梦吕仙祠,3723480471,文化古迹,3A景区,热度 0.78,河北省邯郸市黄梁梦镇,一组规模宏伟、保存较好的明清时代建筑群,"114.498608,36.686845"
广东·珠海·香洲区,东澳岛,250211386,文化古迹,,热度 0.74,广东省珠海市金湾区,远离喧嚣的浪漫之旅,"113.719602,22.024888"
河北·石家庄·桥西区,华北烈士陵园,360758403,文化古迹,,热度 0.7,河北省石家庄市桥西区中山西路343号,纪念在战争时期牺牲的革命烈士,"114.471597,38.049213"
浙江·湖州·南浔古镇,小莲庄,3150438015,文化古迹,,热度 0.78,浙江省湖州市南浔镇,南浔古镇的标志性景点,"120.43561186646,30.875546142595"
上海·上海·虹口区,鲁迅故居,480555003,文化古迹,,热度 0.76,上海市虹口区山阴路大陆新村9号,带你了解鲁迅先生的生活,"121.491123,31.271775"
云南·大理·大理市,小普陀,2991473783,文化古迹,,热度 0.74,云南省大理白族自治州大理市,洱海里风光明媚的景点,"100.230135,25.81329"
广西·南宁·江南区,扬美古镇,279123416,文化古迹,,热度 0.74,广西省南宁市江南区,古镇、老街、碧水、金滩、怪树著称,"108.07403,22.845904"
山东·青岛·市南区,栈桥,225939817,文化古迹,,热度 1.0,山东省青岛市市南区太平路14号,在这里感受惊涛拍案，飞阁回澜,"120.326563,36.065428"
山东·济南·章丘市,三王峪,2981605519,文化古迹,3A景区,热度 0.7,山东省济南市章丘市垛庄镇大北头村,秋季红叶遍岭，冬季松柏郁蔽,"117.401699,36.535495"
山东·聊城·阳谷县,景阳冈,2033473466,文化古迹,4A景区,热度 0.78,山东省聊城市阳谷县张秋镇景阳冈村,水浒英雄武松打虎故地，龙山文化城遗址,"115.98553,36.090753"
重庆·重庆·潼南县,重庆潼南大佛寺,1132110684,文化古迹,4A景区,热度 0.7,重庆市潼南县大佛寺,七檐歇山式建筑，景象壮观,"105.815677,30.193003"
班武里府·华欣,拷汪宫,2031157663,文化古迹,,热度 0.0,亚洲-泰国-华欣,带你感受这里山陵的灵秀气息,"99.93663649261,13.1091682599365"
辽宁·锦州·义县,奉国寺,3838162943,文化古迹,4A景区,热度 0.76,辽宁省锦州市义县东街18号,一座宏伟壮观、保存较为完整的古代寺院,"121.25479,41.54933"
天津·天津·西青区,千尊玉佛寺,3161522499,文化古迹,,热度 0.7,天津市西青区辛口镇当城村,千尊玉佛寺占地面积一百八十亩。四园将建护城河一道，六米宽沿河道路，四米宽绿化带。主轴线建筑为山门，天王殿、千尊玉佛殿、玉,"116.95897546688,39.096749211891"
广西·玉林·陆川县,谢鲁山庄,3576828997,文化古迹,4A景区,热度 0.76,广西玉林陆川县西南24公里的乌石镇谢鲁村,北有龙珠湖钟灵毓秀，南有谢鲁山庄降人才,"110.195073,22.156401"
广东·广州·番禺,天后宫,3430424450,文化古迹,,热度 0.7,广州市番禺区大角山,四周绿树婆娑，殿中香烟袅袅,"113.621285,22.761851"
江苏·无锡·江阴市,华西金塔,1520999805,文化古迹,,热度 0.7,江苏省无锡江阴市华西村,华西村标志性建筑,"120.441402,31.839378"
河北·保定·曲阳县,北岳庙,2686636620,文化古迹,4A景区,热度 0.72,河北省保定市曲阳县登岳街与北岳路交汇,古建成群、碑碣林立，壁画堪称技艺精湛,"114.703342,38.626242"
京都府·京都,天龙寺,1381254624,文化古迹,,热度 1.0,"〒616-8385 京都府京都市右京区嵯峨天龍寺芒ノ馬場町６８（６８ Sagatenryuji Susukinobabacho, Ukyō-ku, Kyoto, Kyoto Prefecture 616-8385日本）",国家特别的历史遗迹,"135.67375,35.0156666666667"
北京·北京·西城区,牛街礼拜寺,283277581,文化古迹,,热度 0.7,北京市西城区（原宣武区）牛街18号,世界上著名的清真寺之一,"116.370643,39.891483"
曼谷,大皇宫,2848371217,文化古迹,,热度 0.0,"Na Phra Lan Rd, Phra Nakhon, Bangkok, 10200",曾一直是暹罗王国的皇室居所,"100.491288415372,13.7500302120421"
京都府·京都,二条城,2519878793,文化古迹,,热度 1.0,"〒604-8301 京都府京都市中京区二条城町541（541 Nijojocho, Nakagyo Ward, Kyoto, Kyoto Prefecture 604-8301日本）",保存了日本桃山时代的绘画雕刻和建筑特色,"135.748693086272,35.0142326459435"
广东·惠州·惠东县,平海古城,1373499114,文化古迹,,热度 0.78,广东省惠州市惠东县平海东县城53公里,民间传统艺术绚丽多姿，城内名声古迹众多,"114.896138,22.620545"
台湾·台北·一级棒养生会馆,三峡老街,2613721649,文化古迹,,热度 0.0,台湾台北市,全台湾庙宇建筑的经典之作,"121.369735717773,24.9335498809814"
陕西·商洛·山阳县,漫川关古镇,4262824692,文化古迹,,热度 0.72,陕西商洛市漫川镇,以地貌广大水域宽阔而得名,"110.069498,33.236909"
东京,千鸟之渊,3960592318,文化古迹,,热度 0.0,靖国神社旁北之丸公园,染井吉野樱和山樱夹道而开，赏樱胜地,"139.7486423,35.6896487"
山西·晋中·榆次区,榆次老城,2848569694,文化古迹,,热度 0.72,山西晋中市榆次府兴路（俞家街）,让时光倒流感受晋中古朴的历史人文,"112.757853,37.685556"
天津·天津·蓟县,盘山烈士陵园,3201161117,文化古迹,,热度 0.7,天津市蓟县盘山,发扬红色革命传统教育之地,"117.331931,40.067061"
班武里府·华欣,爱与希望之宫,2346764674,文化古迹,,热度 0.0,"1281 Thanon Phetkasem, Cha-am, Cha-am District, Phetchaburi 76120",清新婉约的皇家宫殿,"99.9631250424147,12.698302474019"
江苏·南京·雨花台区,菊花台九烈士墓,1055273178,文化古迹,,热度 0.7,江苏省南京市雨花台区近郊雨花台西边,扇形墓茔，闹中取静，烈士精神，于此长存,"118.787456,32.001802"
山东·青岛·崂山,太清宫游览区,175325965,文化古迹,,热度 0.72,山东省青岛市崂山区东南蟠桃峰下,素有“北国小江南”,"120.687436,36.144968"
英格兰·伦敦,温莎古堡,3081611099,文化古迹,,热度 0.0,"Windsor, SL4 1NJ, United Kingdom",大英帝国900年历史的英国王室行宫之旅,"-0.604423,51.483895"
安徽·滁州·凤阳县,明皇陵,1265603336,文化古迹,,热度 0.76,安徽省滁州市凤阳县城太平乡,被国务院列为全国重点文物保护单位,"117.531895,32.821603"
沙巴,水上清真寺,3982926133,文化古迹,,热度 0.0,马来西亚沙巴哥达京那巴鲁市卡士湾畔,一座典型的当代伊斯兰教建筑,"116.14386,6.096884"
新南威尔士州·悉尼,悉尼歌剧院,2829381737,文化古迹,,热度 0.74,"Sydney Opera House Store, Lower Concourse, Sydney Opera House, Circular Quay",悉尼歌剧院是20世纪世界七大奇迹之一,"151.2152967,-33.8567844"
安徽·宣城·泾县,皖南事变烈士陵园,3869489409,文化古迹,4A景区,热度 0.78,安徽省宣城市泾县水西山,建筑布局完整有序，园内氛围庄严肃穆,"118.403658,30.702543"
西藏·拉萨·城关区,哲蚌寺,3896328695,文化古迹,,热度 0.78,西藏拉萨市郊约8公里根培乌孜山南山坳里,藏传佛教寺庙，带着虔诚的心来参观吧,"91.05648,29.677893"
日内瓦,万国宫,2693297288,文化古迹,,热度 0.0,瑞士日内瓦,品味万国宫“全球化”的宏伟建筑,"6.140492,46.226556"
山东·威海·荣成市,赤山法华院,420999433,文化古迹,,热度 0.72,山东省荣成市石岛镇北部的赤山南麓,唐代胶东佛教寺院,"122.405621,36.909432"
山西·运城·芮城县,永乐宫,1748381629,文化古迹,4A景区,热度 0.9400000000000001,山西省运城市芮城县永乐北街78号,以壁画艺术闻名天下，可与敦煌壁画媲美,"110.699807,34.723637"
湖南·湘西·凤凰县,苗王城,765952626,文化古迹,,热度 0.0,湖南省湘西凤凰县凤凰古城,与国内一批旅行社达成意向性委托管理协议,"109.25235107035,27.965125705313"
斯特拉福德,莎士比亚故居,1833759220,文化古迹,,热度 0.0,欧洲-英国,伟大的戏剧家莎士比亚的诞生地和逝世的地方,"-1.7080062,52.1939115"
新南威尔士州·悉尼,凯马,4007171260,文化古迹,,热度 0.0,"Wharf Road,Kiama Harbour",靠近海滩，把酒临风，舒爽不已,"150.854366,-34.659693"
湖北·黄冈·黄州区,东坡赤壁,3270358134,文化古迹,4A景区,热度 0.86,湖北省黄冈市黄州区公园路11号,是旅游圈东部游憩带中的龙头旅游景区,"114.873446,30.458114"
广东·中山·中山市区,孙中山故居纪念馆,1109394555,文化古迹,5A景区,热度 0.8400000000000001,广东省中山市翠亨大道翠亨道93号,再现孙中山出生和成长初期的社会历史环境,"113.526507,22.440893"
雅典·雅典卫城,帕提农神庙,867925704,文化古迹,,热度 0.0,欧洲-希腊-雅典卫城,是雅典卫城的主体建筑,"31.388889,36.766666"
浙江·杭州·西湖,城隍阁,1672177799,文化古迹,,热度 0.72,浙江省杭州市上城区吴山3号,吴山之巅，俯瞰杭城，西湖尽收眼底,"120.171161,30.242179"
四川·阿坝藏族羌族自治州·理县,桃坪羌寨,1617017959,文化古迹,,热度 0.7,四川省阿坝市理县桃坪乡,历史悠久，被人们誉为“神秘的东方古堡”,"103.456298,31.564523"
安徽·宣城·旌德县,江村,2883017943,文化古迹,4A景区,热度 0.76,安徽省宣城市旌德县022乡道江村,皖南大地上一颗光彩夺目的明珠,"118.3963,30.21752"
加利福尼亚州·旧金山,旧金山金门大桥,3096962126,文化古迹,,热度 0.0,美国旧金山,世界所建大桥中罕见的单孔长跨距大吊桥,"-122.4782551,37.8199286"
山东·淄博·周村区,蒲松龄书馆,226352360,文化古迹,,热度 0.7,山东省淄博市周村区王村镇西铺村,被誉为“世界短篇小说之王”的文坛巨匠,"117.744882,36.68414"
辽宁·大连·旅顺口区,电岩炮台,1384208182,文化古迹,,热度 0.72,大连旅顺黄金街,旅顺口＂百发不中＂的炮台,"121.274801,38.800271"
河北·秦皇岛·山海关区,王家大院,11479796,文化古迹,3A景区,热度 0.7,河北省秦皇岛市山海关城内东三条,亲身体验中国文化的博大精深、源远流长,"119.765253,40.013147"
内蒙古·包头·石拐区,五当召,3231835384,文化古迹,4A景区,热度 0.78,内蒙古省包头石拐区青五线五当沟,气势雄伟，富现堂皇，有小布达拉宫之称,"110.320996,40.797434"
湖北·襄阳·南漳县,水镜庄,3612817691,文化古迹,3A景区,热度 0.78,湖北省襄阳市南漳县城南0.5公里处,仙境的环境，是三国旅游热线的源头,"111.842787,31.775862"
广东·江门·开平市,开平碉楼,2567276127,文化古迹,,热度 0.9800000000000001,广东省江门开平市五五五县道,中国华侨文化的纪念丰碑,"112.586516,22.376606"
格拉纳达,阿尔汗布拉宫,199350704,文化古迹,,热度 0.7,西班牙格拉纳达城东的山丘上,西班牙的著名故宫,"2.36731,48.84728"
湖北·荆州·荆州区,荆州古城,3552559956,文化古迹,4A景区,热度 1.0,湖北省荆州市荆州区张居正街2号,历史古城，风貌犹存，建筑壮观，异彩纷呈,"112.222609,30.354815"
宁夏·固原·原州区,须弥山石窟旅游区,2360040810,文化古迹,4A景区,热度 0.9400000000000001,宁夏省固原市三营镇黄铎堡街须弥山石窟文物管理所,石窟艺术和宗教文化,"105.997735,36.281909"
京都府·京都,平安神宫,3521903210,文化古迹,,热度 1.0,"〒606-8341 京都府京都市左京区岡崎西天王町（Okazaki Nishitennocho, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8341日本）",一年四季鲜花盛开，京都必游景点,"135.7824263,35.0159823"
开罗省·开罗,狮身人面像,2770650418,文化古迹,,热度 0.9,开罗西南的吉萨大金字塔近旁,埃及著名古迹,"31.1375694274902,29.975269317627"
浙江·嘉兴·嘉善县,种福堂,4258129616,文化古迹,,热度 0.7,浙江省嘉兴市嘉善县,南宋王渊子孙的宅院,"120.751193,27.947275"
西藏·拉萨·城关区,罗布林卡,2006716300,文化古迹,4A景区,热度 0.76,拉萨市罗布林卡路21号,是西藏人造园林中风景佳、古迹多的园林,"91.102232,29.65577"
台湾·高雄,打狗英国领事馆,2009364510,文化古迹,,热度 0.96,台湾省高雄市鼓山区莲海路20号（国立中山大学大门口右侧山顶上）,建于1865年的英式建筑，台湾二级古迹,"120.267352,22.6176323"
广西·桂林·恭城县,文庙,3651997139,文化古迹,,热度 0.72,广西桂林市恭城瑶族自治县城,广西壮族自治区重点文物保护单位,"110.833942,24.837177"
新疆·喀什·喀什市,喀什艾提尕尔清真寺,4237638893,文化古迹,,热度 0.9800000000000001,新疆维吾尔自治区喀什市欧尔达希克路与解放北路交叉口西150米,是一个巨大的庭院，院内有花木及水池,"75.995029,39.479072"
新疆·吐鲁番·吐鲁番市,交河故城,3773579604,文化古迹,,热度 0.72,新疆吐鲁番地区吐鲁番市亚尔乡向西6公里,生土建筑，珍贵的古代文化殿堂,"89.0774,42.954298"
广东·潮州·潮安县,龙湖寨,3717354685,文化古迹,,热度 0.82,广东省潮州市潮安县,汇集宋、明、清及民国务时期“潮式”风格,"116.65814,23.562313"
科隆,科隆大教堂,3747884369,文化古迹,,热度 1.0,欧洲德国北莱菌-威斯特清伦州,欧洲三大宗教建筑之一，科隆城的象征,"6.95828140000003,50.9412784"
河南·郑州·巩义市,北宋皇陵,1284219918,文化古迹,,热度 0.72,河南-郑州,规模庞大、气势雄伟的皇家陵墓群,"112.9915,34.745189"
广西·防城港·东兴市,大清国1号界碑,4293936354,文化古迹,,热度 0.7,防城港东兴市北伦河口的竹山港,有100多年历史的大清国一号界碑,"108.0626554904,21.548409027721"
新疆·吐鲁番·吐鲁番市,苏公塔,748633022,文化古迹,,热度 0.72,新疆吐鲁番地区吐鲁番市东郊2公里处葡萄乡木纳格村的台地上,一座造型新颖别致的伊斯兰教古塔,"89.212779,42.941938"
辽宁·大连·旅顺口区,老铁山灯塔,3701275062,文化古迹,,热度 0.7,辽宁省大连市旅顺口区,闻名天下的塔观双海,"121.14705,38.7339"
伊斯坦布尔,蓝色清真寺,2074884042,文化古迹,,热度 0.0,"Sultanahmet Mh., At Meydanı No:7, 34122 Fatih/İstanbul, 土耳其",是伊斯坦布尔最重要的标志性建筑之一,"28.9768137999999,41.0054101060307"
广东·广州·荔湾区,陈家祠,296878583,文化古迹,4A景区,热度 0.8,广东省广州市荔湾区中山七路恩龙里34号,典型的广东民间宗祠式建筑,"113.252276,23.132927"
甘肃·酒泉·敦煌市,汉长城,3987372850,文化古迹,,热度 0.76,甘肃省酒泉市敦煌市,因地制宜，就地取材建造,"93.493006,40.301076"
维多利亚省·墨尔本,库克船长小屋,1412410200,文化古迹,,热度 0.0,"Wellington Pde, Fitzroy Gardens, East Melbourne VIC 3002",了解其一生的航海经历，感受船长的家庭生活,"144.979450762272,-37.8144983776065"
上海·上海·卢湾区,巴金寓所,3006459004,文化古迹,,热度 0.7,上海市徐汇区武康路113号,完成了他的代表作《激流》三部曲,"121.447004,31.215016"
台湾·台南,赤崁楼,577948500,文化古迹,,热度 1.0,台湾省台南市中区民族路212号,台湾地区一级古迹，台南代表性的名胜,"120.2025433,22.997478"
陕西·西安·莲湖区,西安城隍庙,2450514132,文化古迹,,热度 0.7,陕西省西安市莲湖区西大街129号,仿古建筑气势轩昂，建筑工艺令人赞叹,"108.943735,34.26798"
陕西·西安·莲湖区,西安鼓楼,1981518486,文化古迹,,热度 1.0,陕西西安市西大街北院门南口,钟为文鼓为武，文武盛地钟鼓楼,"108.949903,34.266395"
甘肃·甘南·夏河县,拉卜楞寺,3492038200,文化古迹,4A景区,热度 1.0,甘肃省甘南州夏河县,上万经卷藏于寺内,"102.512144,35.199748"
四川·泸州·合江县,尧坝古镇,2523589705,文化古迹,4A景区,热度 0.8800000000000001,四川省泸州市合江县,响誉川黔的文化名镇、影视基地、佛教胜地,"105.653212,28.743973"
重庆·重庆·酉阳县,龚滩古镇,3952465955,文化古迹,4A景区,热度 0.72,重庆酉阳县龚滩古镇207号,寻觅“世外桃源“，绝壁上的音符,"108.359376,28.913345"
浙江·绍兴·新昌县,新昌大佛寺,1246317217,文化古迹,4A景区,热度 0.76,浙江省绍兴市新昌县人民西路117号,古人刘勰称赞的“不世之宝，无等之业”,"120.89737,29.506979"
河南·郑州·登封市,永泰寺,3554925860,文化古迹,,热度 0.74,河南省郑州登封市,整个寺区依山傍水，环境古幽,"112.985224,34.526007"
胡志明市,西贡圣母大教堂,669885412,文化古迹,,热度 0.0,"1, Công xã Paris, Bến Nghé, Ho Chi Minh City, Ho Chi Minh, 越南",法式风情的大教堂,"106.6989856,10.779853"
香港·香港·香港岛,文武庙,1388413124,文化古迹,,热度 0.7,香港荷李活道124-126号,香港古文物建筑之一,"114.161718,22.287166"
